file_path,file_id,curve_idx,kcanti,defl_sens,hertz_ind_geometry,hertz_tip_parameter,hertz_apply_BEC,hertz_BEC_model,hertz_fit_hline_on_baseline,hertz_delta0,hertz_E0,hertz_f0,hertz_slope,hertz_poisson_ratio,hertz_sample_height,hertz_MAE,hertz_MSE,hertz_RMSE,hertz_Rsquared,hertz_chisq,hertz_redchi
C:/Users/javier.lopez/Downloads/20221029.tar/HeLaDataset_20221029/SFC\map-data-2022.10.29-12.07.49.604.jpk-force-map,map-data-2022.10.29-12.07.49.604.jpk-force-map,0,0.191,14.67850538317155,paraboloid,5e-06,False,,False,1.0658075246654635e-07,609.0139081570237,-7.83671365184271e-11,,0.5,,1.6127336293444582e-23,1.907327799521131e-21,4.36729641714543e-11,0.9082060918978778,1.2948200949075268e-08,4.316066983025089e-09
C:/Users/javier.lopez/Downloads/20221029.tar/HeLaDataset_20221029/SFC\map-data-2022.10.29-12.07.49.604.jpk-force-map,map-data-2022.10.29-12.07.49.604.jpk-force-map,2,0.191,14.67850538317155,paraboloid,5e-06,False,,False,6.493986760920526e-08,395.3131757998338,-4.796658981669224e-11,,0.5,,1.9682072463305053e-19,1.49075241004161e-21,3.861026301440603e-11,0.9234619679296315,-7.231124860237986e-09,-2.410374953412662e-09
C:/Users/javier.lopez/Downloads/20221029.tar/HeLaDataset_20221029/SFC\map-data-2022.10.29-12.07.49.604.jpk-force-map,map-data-2022.10.29-12.07.49.604.jpk-force-map,4,0.191,14.67850538317155,paraboloid,5e-06,False,,False,5.5911918151149666e-08,362.1089827227273,-1.6098774535841466e-11,,0.5,,1.3146263306646332e-23,2.397016303504077e-21,4.895933316032886e-11,0.8811770016927848,1.1679414781598573e-08,3.893138260532858e-09
C:/Users/javier.lopez/Downloads/20221029.tar/HeLaDataset_20221029/SFC\map-data-2022.10.29-12.07.49.604.jpk-force-map,map-data-2022.10.29-12.07.49.604.jpk-force-map,1,0.191,14.67850538317155,paraboloid,5e-06,False,,False,7.721815390840196e-08,449.70521300323844,-4.1109627171317815e-11,,0.5,,-6.058950276127258e-22,1.7593002999202573e-21,4.194401387469083e-11,0.9106997643296719,-3.6555497968368305e-09,-1.2185165989456102e-09
C:/Users/javier.lopez/Downloads/20221029.tar/HeLaDataset_20221029/SFC\map-data-2022.10.29-12.07.49.604.jpk-force-map,map-data-2022.10.29-12.07.49.604.jpk-force-map,5,0.191,14.67850538317155,paraboloid,5e-06,False,,False,6.397895513190147e-08,444.0860446004759,-1.1670560863733789e-11,,0.5,,1.3684993442745078e-22,1.6022436388456467e-21,4.002803566059227e-11,0.9587655113425738,-6.3714942389853176e-09,-2.123831412995106e-09
C:/Users/javier.lopez/Downloads/20221029.tar/HeLaDataset_20221029/SFC\map-data-2022.10.29-12.07.49.604.jpk-force-map,map-data-2022.10.29-12.07.49.604.jpk-force-map,3,0.191,14.67850538317155,paraboloid,5e-06,False,,False,1.4893301054047686e-07,476.74963344338477,-3.472437367904945e-11,,0.5,,-1.0597580185500802e-23,2.3813280924618803e-21,4.8798853392901355e-11,0.8701060236473867,1.325405833457809e-08,4.4180194448593635e-09
C:/Users/javier.lopez/Downloads/20221029.tar/HeLaDataset_20221029/SFC\map-data-2022.10.29-12.07.49.604.jpk-force-map,map-data-2022.10.29-12.07.49.604.jpk-force-map,6,0.191,14.67850538317155,paraboloid,5e-06,False,,False,7.030124262045649e-09,702.5007369360917,1.0362676274894533e-11,,0.5,,6.443918470301422e-20,1.1708243788149164e-21,3.421731109854947e-11,0.9532152023785575,-1.5011521141262114e-09,-5.003840380420705e-10
C:/Users/javier.lopez/Downloads/20221029.tar/HeLaDataset_20221029/SFC\map-data-2022.10.29-12.07.49.604.jpk-force-map,map-data-2022.10.29-12.07.49.604.jpk-force-map,7,0.191,14.67850538317155,paraboloid,5e-06,False,,False,1.1918820437880991e-07,485.8554963217254,-1.278766696813654e-11,,0.5,,6.799008950751478e-20,1.4684338214720957e-21,3.8320149027268874e-11,0.9333814354960019,9.488664602236361e-10,3.162888200745454e-10
C:/Users/javier.lopez/Downloads/20221029.tar/HeLaDataset_20221029/SFC\map-data-2022.10.29-12.07.49.604.jpk-force-map,map-data-2022.10.29-12.07.49.604.jpk-force-map,12,0.191,14.67850538317155,paraboloid,5e-06,False,,False,5.855948758234417e-07,540.0341517851665,-2.749913696359157e-11,,0.5,,5.546376932670849e-22,1.2870021753564087e-20,1.1344611828336872e-10,0.0,-2.7599466305031253e-08,-9.199822101677085e-09
C:/Users/javier.lopez/Downloads/20221029.tar/HeLaDataset_20221029/SFC\map-data-2022.10.29-12.07.49.604.jpk-force-map,map-data-2022.10.29-12.07.49.604.jpk-force-map,11,0.191,14.67850538317155,paraboloid,5e-06,False,,False,2.2072700551222e-07,665.2868111447073,-6.728700159833606e-11,,0.5,,1.7720892492269372e-19,1.8235520680097857e-21,4.2703068601797056e-11,0.8945089955925998,-1.1134315773660654e-08,-3.711438591220218e-09
